Date,Close,High,Low,Open,Volume,Log_Return,Simple_Return,Log_Return_pct
2023-06-22,18771.25,18886.599609375,18759.5,18853.599609375,252700,-0.004549778379793411,-0.004539443817404343,-0.4549778379793411
2023-06-23,18665.5,18756.400390625,18647.099609375,18741.849609375,210600,-0.005649543898520234,-0.005633615236065759,-0.5649543898520234
2023-06-26,18691.19921875,18722.05078125,18646.69921875,18682.349609375,171300,0.0013758829522746805,0.0013768299134766515,0.13758829522746804
2023-06-27,18817.400390625,18829.25,18714.25,18748.55078125,222500,0.006729211402828641,0.00675190341711196,0.6729211402828641
2023-06-28,18972.099609375,19011.25,18861.349609375,18908.150390625,398800,0.008187463868637099,0.00822107281232487,0.8187463868637099
2023-06-30,19189.05078125,19201.69921875,19024.599609375,19076.849609375,247900,0.011370386219451868,0.01143527476356887,1.1370386219451867
2023-07-03,19322.55078125,19345.099609375,19234.400390625,19246.5,226100,0.006933003527425256,0.00695709243369369,0.6933003527425257
2023-07-04,19389.0,19434.150390625,19300.0,19406.599609375,226900,0.0034330468644171055,0.003438946519135566,0.3433046864417105
2023-07-05,19398.5,19421.599609375,19339.599609375,19405.94921875,224400,0.0004898485434720244,0.0004899685388621844,0.04898485434720244
2023-07-06,19497.30078125,19512.19921875,19373.0,19385.69921875,268300,0.005080291021865595,0.00509321758125636,0.5080291021865595
2023-07-07,19331.80078125,19523.599609375,19303.599609375,19422.80078125,237100,-0.008524585713268293,-0.00848835445771845,-0.8524585713268293
2023-07-10,19355.900390625,19435.849609375,19327.099609375,19400.349609375,268200,0.0012458539412885826,0.0012466303397029588,0.12458539412885826
2023-07-11,19439.400390625,19515.099609375,19406.44921875,19427.099609375,251300,0.004304651710725516,0.004313930032438185,0.4304651710725516
2023-07-12,19384.30078125,19507.69921875,19361.75,19497.44921875,327900,-0.00283845407345589,-0.002834429471475497,-0.283845407345589
2023-07-13,19413.75,19567.0,19385.80078125,19495.19921875,310400,0.0015180775225879406,0.0015192303855748879,0.15180775225879406
2023-07-14,19564.5,19595.349609375,19433.5,19493.44921875,291200,0.007735121594226721,0.007765114931427508,0.7735121594226722
2023-07-17,19711.44921875,19731.849609375,19562.94921875,19612.150390625,268700,0.007482946045497489,0.007511013251041421,0.7482946045497489
2023-07-18,19749.25,19819.44921875,19690.19921875,19787.5,286400,0.0019158704007220429,0.001917706853032497,0.19158704007220428
2023-07-19,19833.150390625,19851.69921875,19727.44921875,19802.94921875,259700,0.00423928389630214,0.004248282371482448,0.423928389630214
2023-07-20,19979.150390625,19991.849609375,19758.400390625,19831.69921875,274700,0.007334449485705515,0.007361412439498949,0.7334449485705514
2023-07-21,19745.0,19887.400390625,19700.0,19800.44921875,312500,-0.011788954585924888,-0.011719737128305097,-1.1788954585924887
2023-07-24,19672.349609375,19782.75,19658.30078125,19748.44921875,265600,-0.0036862180542648424,-0.0036794322929856182,-0.36862180542648426
2023-07-25,19680.599609375,19729.349609375,19615.94921875,19729.349609375,369700,0.00041928243166748923,0.0004193703428323481,0.041928243166748924
2023-07-26,19778.30078125,19825.599609375,19716.69921875,19733.349609375,244700,0.0049520574860006375,0.004964339187534694,0.4952057486000637
2023-07-27,19659.900390625,19867.55078125,19603.55078125,19850.900390625,334900,-0.006004368496797154,-0.0059863783008722304,-0.6004368496797154
2023-07-28,19646.05078125,19695.900390625,19563.099609375,19659.75,258700,-0.0007047080421790248,-0.0007044597937843067,-0.07047080421790247
2023-07-31,19753.80078125,19772.75,19597.599609375,19666.349609375,295100,0.005469577389253641,0.005484562836559181,0.5469577389253641
2023-08-01,19733.55078125,19795.599609375,19704.599609375,19784.0,298000,-0.0010256449710540406,-0.0010251191770254131,-0.10256449710540406
2023-08-02,19526.55078125,19678.25,19423.55078125,19655.400390625,290700,-0.010545154493387934,-0.010489749274959825,-1.0545154493387934
2023-08-03,19381.650390625,19537.650390625,19296.44921875,19463.75,315700,-0.007448355676119346,-0.007420685416911321,-0.7448355676119346
2023-08-04,19517.0,19538.849609375,19436.44921875,19462.80078125,280800,0.006959118337332752,0.006983389270114548,0.6959118337332753
2023-08-07,19597.30078125,19620.44921875,19524.80078125,19576.849609375,216600,0.004105960861445235,0.004114401867602702,0.41059608614452353
2023-08-08,19570.849609375,19634.400390625,19533.099609375,19627.19921875,260300,-0.0013506471779916257,-0.0013497354646058168,-0.13506471779916257
2023-08-09,19632.55078125,19645.5,19467.5,19578.80078125,266500,0.0031477485221408875,0.003152707884763739,0.31477485221408874
2023-08-10,19543.099609375,19623.599609375,19495.400390625,19605.55078125,312200,-0.004566679886024027,-0.004556268458015711,-0.4566679886024027
2023-08-11,19428.30078125,19557.75,19412.75,19554.25,235500,-0.005891456761763215,-0.005874136161590715,-0.5891456761763215
2023-08-14,19434.55078125,19465.849609375,19257.900390625,19383.94921875,243900,0.0003216439248586792,0.00032169565781225984,0.03216439248586792
2023-08-16,19465.0,19482.75,19317.19921875,19369.0,0,0.0015655309306883672,0.0015667570139761278,0.15655309306883672
2023-08-17,19365.25,19461.55078125,19326.25,19450.55078125,268700,-0.005137758290060533,-0.005124582584125403,-0.5137758290060533
2023-08-18,19310.150390625,19373.80078125,19253.599609375,19301.75,256100,-0.0028493381372506382,-0.0028452826260957353,-0.2849338137250638
2023-08-21,19393.599609375,19425.94921875,19296.30078125,19320.650390625,262600,0.0043122099570484,0.0043215209131937105,0.43122099570483996
2023-08-22,19396.44921875,19443.5,19381.30078125,19417.099609375,208700,0.00014692476375842436,0.00014693555773015454,0.014692476375842436
2023-08-23,19444.0,19472.05078125,19366.599609375,19439.19921875,225200,0.0024485198272942723,0.0024515199000461063,0.24485198272942724
2023-08-24,19386.69921875,19584.44921875,19369.0,19535.150390625,268300,-0.0029513155310064644,-0.002946964680621278,-0.2951315531006464
2023-08-25,19265.80078125,19339.55078125,19229.69921875,19297.400390625,466500,-0.0062556798015631025,-0.006236153774081932,-0.6255679801563102
2023-08-28,19306.05078125,19366.849609375,19249.69921875,19298.349609375,248200,0.0020870149074536447,0.002089194238900971,0.20870149074536445
2023-08-29,19342.650390625,19377.900390625,19309.099609375,19374.849609375,307400,0.0018939637920959618,0.0018957584743610756,0.18939637920959618
2023-08-30,19347.44921875,19452.80078125,19334.75,19433.44921875,233000,0.00024806491573087567,0.0002480956863764039,0.024806491573087567
2023-08-31,19253.80078125,19388.19921875,19223.650390625,19375.55078125,562600,-0.004852103039648143,-0.004840350603388277,-0.48521030396481435
2023-09-01,19435.30078125,19458.55078125,19255.69921875,19258.150390625,333000,0.009382556025202547,0.009426710188917609,0.9382556025202546
2023-09-04,19528.80078125,19545.150390625,19432.849609375,19525.05078125,296800,0.004799298621963187,0.004810833701642592,0.4799298621963187
2023-09-05,19574.900390625,19587.05078125,19525.75,19564.650390625,256800,0.002357814188949651,0.0023605960187407238,0.23578141889496507
2023-09-06,19611.05078125,19636.44921875,19491.5,19581.19921875,287600,0.0018450694598145603,0.0018467726478093027,0.18450694598145603
